synthetic_id,circuits,communities,customers_out,cause,cause_detail,crew_status,start_utc,etr_utc,n_out,centroid_lat,centroid_lng,geom_point_encoded,geom_polygon_encoded,inc_id_raw,positional_id_raw,tile_quadkey,deployment_guid,retrieved_utc
271|2026-08-15T02:43:39Z,271,Torrey Pines/ Sorrento Valley/ University City,311,,The cause of the outage is unknown and still under investigation.,,2026-08-15T02:43:39Z,2026-08-15T04:00:00Z,1,32.87171,-117.2103,egsgEjskjU,sprgEvfljUcQf@aB{@iOsNg@cV|EgEP?nPjRvLfY,,4-0,0230,fb2979cb-efc8-4644-9460-d026f4efaddb,2026-08-15T03:01:17Z
271|2026-08-15T02:43:39Z,271,Torrey Pines/ Sorrento Valley/ University City,311,,The cause of the outage is unknown and still under investigation.,,2026-08-15T02:43:39Z,2026-08-15T04:00:00Z,1,32.87171,-117.2103,egsgEjskjU,sprgEvfljUcQf@aB{@iOsNg@cV|EgEP?nPjRvLfY,,4-0,0230,2f50fa55-8419-4d73-8f16-0594edbeed43,2026-08-15T03:16:16Z
271|2026-08-15T02:43:39Z,271,Torrey Pines/ Sorrento Valley/ University City,311,,The cause of the outage is unknown and still under investigation.,,2026-08-15T02:43:39Z,2026-08-15T04:00:00Z,1,32.87171,-117.2103,egsgEjskjU,sprgEvfljUcQf@aB{@iOsNg@cV|EgEP?nPjRvLfY,,4-0,0230,a17bb81f-6df1-482a-9a02-e91a5cfc316d,2026-08-15T03:31:16Z
271|2026-08-15T02:43:39Z,271,Torrey Pines/ Sorrento Valley/ University City,30,,The cause of the outage is unknown and still under investigation.,,2026-08-15T02:43:39Z,2026-08-15T05:30:00Z,1,32.87364,-117.20793,gssgEpdkjU,kmsgEz|jjUwGrXg@cV|EgEP?nAvB,,4-0,0230,a8c65755-70d5-4cb3-af40-e541cfb70c86,2026-08-15T03:46:17Z
271|2026-08-15T02:43:39Z,271,Torrey Pines/ Sorrento Valley/ University City,30,,The cause of the outage is unknown and still under investigation.,,2026-08-15T02:43:39Z,2026-08-15T05:30:00Z,1,32.87364,-117.20793,gssgEpdkjU,kmsgEz|jjUwGrXg@cV|EgEP?nAvB,,4-0,0230,320fc7ba-489d-4e6f-b8aa-bc4d7a4f99e5,2026-08-15T04:01:16Z
851|2026-08-15T03:57:39Z,851,S Vista,586,,The cause of the outage is unknown and still under investigation.,,2026-08-15T03:57:39Z,2026-08-15T06:00:00Z,1,33.16399,-117.2268,}iliEnznjU,w~kiEz|ojUuBSqUgh@xB_SxEz@dLnKd@zEf@~M?rX,,7-0,0230132,0ebbd0af-8ca0-4f3c-970d-f5b641ca05c5,2026-08-15T04:16:17Z
271|2026-08-15T02:43:39Z,271,Torrey Pines/ Sorrento Valley/ University City,30,,The cause of the outage is unknown and still under investigation.,,2026-08-15T02:43:39Z,2026-08-15T05:30:00Z,1,32.87364,-117.20793,gssgEpdkjU,kmsgEz|jjUwGrXg@cV|EgEP?nAvB,,7-1,0230132,0ebbd0af-8ca0-4f3c-970d-f5b641ca05c5,2026-08-15T04:16:17Z
851|2026-08-15T03:57:39Z,851,S Vista,586,Undetermined,The cause of the outage is unknown and still under investigation.,,2026-08-15T03:57:39Z,2026-08-15T06:00:00Z,1,33.16399,-117.2268,}iliEnznjU,w~kiEz|ojUuBSqUgh@xB_SxEz@dLnKd@zEf@~M?rX,,7-0,0230132,9ccbd353-a26c-4a43-b404-47f4c336c421,2026-08-15T04:31:16Z
271|2026-08-15T02:43:39Z,271,Torrey Pines/ Sorrento Valley/ University City,12,,The cause of the outage is unknown and still under investigation.,,2026-08-15T02:43:39Z,2026-08-15T05:30:00Z,1,32.8741,-117.21035,cvsgEtskjU,,,7-1,0230132,9ccbd353-a26c-4a43-b404-47f4c336c421,2026-08-15T04:31:16Z
851|2026-08-15T03:57:39Z,851,S Vista,586,Undetermined,The cause of the outage is unknown and still under investigation.,,2026-08-15T03:57:39Z,2026-08-15T06:00:00Z,1,33.16399,-117.2268,}iliEnznjU,w~kiEz|ojUuBSqUgh@xB_SxEz@dLnKd@zEf@~M?rX,,7-0,0230132,9471f954-edd6-4c54-baac-5753eabf5e68,2026-08-15T04:46:19Z
